Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1692, Accuracy: 46.33%
Batch Size: 32, Hidden Layers: [4], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1122, Accuracy: 53.27%
Batch Size: 64, Hidden Layers: [4], Activation: relu, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0204, Accuracy: 55.92%
Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0289, Accuracy: 55.51%
Batch Size: 32, Hidden Layers: [4], Activation: relu, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0489, Accuracy: 54.49%
Batch Size: 64, Hidden Layers: [4], Activation: relu, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0543, Accuracy: 55.31%
Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2206, Accuracy: 51.84%
Batch Size: 32, Hidden Layers: [4], Activation: relu, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2282, Accuracy: 54.08%
Batch Size: 64, Hidden Layers: [4], Activation: relu, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2965, Accuracy: 49.80%
Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.4735, Accuracy: 45.51%
Batch Size: 32, Hidden Layers: [4], Activation: relu, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.9061, Accuracy: 1.63%
Batch Size: 64, Hidden Layers: [4], Activation: relu, LR: 0.0001, Epochs: 10, Validation Loss (MSE): 1.8429, Accuracy: 11.02%
Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.1632, Accuracy: 50.20%
Batch Size: 32, Hidden Layers: [4], Activation: relu, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.2150, Accuracy: 47.55%
Batch Size: 64, Hidden Layers: [4], Activation: relu, LR: 0.1, Epochs: 50, Validation Loss (MSE): 1.0490, Accuracy: 54.08%
Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0612, Accuracy: 53.67%
Batch Size: 32, Hidden Layers: [4], Activation: relu, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0452, Accuracy: 55.92%
Batch Size: 64, Hidden Layers: [4], Activation: relu, LR: 0.01, Epochs: 50, Validation Loss (MSE): 1.0088, Accuracy: 55.92%
Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0252, Accuracy: 59.18%
Batch Size: 32, Hidden Layers: [4], Activation: relu, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0383, Accuracy: 56.12%
Batch Size: 64, Hidden Layers: [4], Activation: relu, LR: 0.001, Epochs: 50, Validation Loss (MSE): 1.0619, Accuracy: 53.06%
Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.2350, Accuracy: 47.96%
Batch Size: 32, Hidden Layers: [4], Activation: relu, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.3638, Accuracy: 50.61%
Batch Size: 64, Hidden Layers: [4], Activation: relu, LR: 0.0001, Epochs: 50, Validation Loss (MSE): 1.5930, Accuracy: 50.20%
Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1191, Accuracy: 48.37%
Batch Size: 32, Hidden Layers: [4], Activation: relu, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.1071, Accuracy: 52.24%
Batch Size: 64, Hidden Layers: [4], Activation: relu, LR: 0.1, Epochs: 100, Validation Loss (MSE): 1.0363, Accuracy: 55.71%
Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0210, Accuracy: 57.55%
Batch Size: 32, Hidden Layers: [4], Activation: relu, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0560, Accuracy: 53.88%
Batch Size: 64, Hidden Layers: [4], Activation: relu, LR: 0.01, Epochs: 100, Validation Loss (MSE): 1.0249, Accuracy: 56.53%
Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0191, Accuracy: 56.73%
Batch Size: 32, Hidden Layers: [4], Activation: relu, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0406, Accuracy: 54.08%
Batch Size: 64, Hidden Layers: [4], Activation: relu, LR: 0.001, Epochs: 100, Validation Loss (MSE): 1.0784, Accuracy: 54.49%
Batch Size: 16, Hidden Layers: [4], Activation: relu, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.0891, Accuracy: 52.04%
Batch Size: 32, Hidden Layers: [4], Activation: relu, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.1747, Accuracy: 54.08%
Batch Size: 64, Hidden Layers: [4], Activation: relu, LR: 0.0001, Epochs: 100, Validation Loss (MSE): 1.2990, Accuracy: 53.67%
Batch Size: 16, Hidden Layers: [4], Activation: sigmoid, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.1054, Accuracy: 53.88%
Batch Size: 32, Hidden Layers: [4], Activation: sigmoid, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0498, Accuracy: 54.90%
Batch Size: 64, Hidden Layers: [4], Activation: sigmoid, LR: 0.1, Epochs: 10, Validation Loss (MSE): 1.0737, Accuracy: 55.92%
Batch Size: 16, Hidden Layers: [4], Activation: sigmoid, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0477, Accuracy: 53.27%
Batch Size: 32, Hidden Layers: [4], Activation: sigmoid, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0597, Accuracy: 55.51%
Batch Size: 64, Hidden Layers: [4], Activation: sigmoid, LR: 0.01, Epochs: 10, Validation Loss (MSE): 1.0782, Accuracy: 54.08%
Batch Size: 16, Hidden Layers: [4], Activation: sigmoid, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1614, Accuracy: 53.47%
Batch Size: 32, Hidden Layers: [4], Activation: sigmoid, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.1896, Accuracy: 53.27%
Batch Size: 64, Hidden Layers: [4], Activation: sigmoid, LR: 0.001, Epochs: 10, Validation Loss (MSE): 1.2987, Accuracy: 50.61%
